													
		Preços Referenciais BM&F para LTN											
													
		Vencimento	Prazo em	Taxa %	P.U LTN*								
			dias úteis	base 252									
		1/10/2015	5	14,2400	997,361991379								
		4/1/2016	68	14,5700	963,962700789								
		1/4/2016	129	15,0600	930,706024310								
		1/7/2016	192	15,5500	895,726197552								
		3/10/2016	257	15,4300	863,862898734								
		1/1/2017	319	15,6200	832,162747750								
		1/7/2017	443	15,8600	771,985110037								
		2/10/2017	507	15,9500	742,494713808								
		2/1/2018	568	16,0100	715,532485126								
		2/7/2018	692	16,0500	664,480713616								
		2/1/2019	818	16,1200	615,615759847								
		1/7/2019	941	16,1400	571,938887297								
		* R$ 1.000,00 descontado da taxa de juros											
													
													
													
